Symbol	Name	Sector	Industry	PE	EPS	DivYield	Shares	DPS	PEG	PtS	PtB
EMX	Emx Royalty Group			0	-0.02	0	79477610	0	0	26.87	1.53
ENFR	Alerian Energy Infrastructure E			0	0	0	0	0	0	0	0
ENOR	Norway Index MSCI Ishares			0	0	0	0	0	0	0	0
ENRJ	Enerjex Resources Inc			1.41	0.19	0	10333330	0	0	1.31	0
ENSV	Enservco Corpporation			0	-0.169	0	51065840	0	-0.22	0.6692	1.7819
ENTR	Entrepreneur 30 Fund			0	0	0	0	0	0	0	0
ENX	Eaton Vance New York Muni Bond Fund	Finance	Closed-End Fund - Debt	0	-0.17	4.95	0	0.62	0	0	0
ENY	Canadian Energy Income Guggenheim	Basic Materials	Oil & Gas Drilling & Exploration	0	0	0	0	0	0	0	0
EPHE	Philippines Index MSCI Ishares			0	0	0	0	0	0	0	0
EPI	India Earnings Wisdomtree			0	0	0	0	0	0	0	0
EPM	Evolution Petroleum Corp	Energy	Oil & Gas Production	34.47	0.21	4.29	32694370	0.3	0	6.64	3.34
EPOL	Poland Index MSCI Ishares			0	0	0	0	0	0	0	0
EPP	Pacific Ex-Japan MSCI Ishares	Finance	Closed-End Fund - Equity	0	3.89	0	0	0	0	0	0
EPRF	Elkhorn S&P High Quality Preferred			0	0	0	0	0	0	0	0
EPS	Earnings 500 Wisdomtree			0	0	0	0	0	0	0	0
EPU	Peru Index MSCI Ishares			0	0	0	0	0	0	0	0
EPV	Ultrashort FTSE Europe Proshares			0	0	0	0	0	0	0	0
EQAL	Russell 1000 EW ETF PS			0	0	0	0	0	0	0	0
EQL	Alps Equal Sector Weight ETF			0	0	0	0	0	0	0	0
EQLT	Workplace Equality Portfolio ETF			0	0	0	0	0	0	0	0
EQWL	Russell Top 200 EW ETF PS			0	0	0	0	0	0	0	0
EQWM	Russell Midcap EW ETF PS			0	0	0	0	0	0	0	0
EQWS	Russell 2000 EW ETF PS			0	0	0	0	0	0	0	0
ERC	Wells Fargo Advantage Multi-Sector	Finance	Closed-End Fund - Debt	0	1.43	9.49	0	1.28	0	0	0
ERGF	Ishares Energy Multifactor			0	0	0	0	0	0	0	0
ERH	Wells Fargo Advantage Utilities and High	Finance	Closed-End Fund - Debt	0	1.41	6.89	0	0.9	0	0	0
ERM	Equitycompass Risk Manager ETF			0	0	0	0	0	0	0	0
ERN	Erin Energy Corp			0	-1	0	213258200	0	0	6.36	0
ERO	EUR/USD Exchange Rate ETN Ipath			0	0	0	0	0	0	0	0
ERUS	Russia Index MSCI Ishares			0	0	0	0	0	0	0	0
ERX	Energy Bull 3X Direxion			0	0	0	0	0	0	0	0
ERY	Energy Bear 3X Direxion			0	0	0	0	0	0	0	0
ESBA	Empire State Realty Op LP			50.3	0.39	0	34490060	0	0	0	0
ESGF	Global ESG Revenue ETF Oppenheimer			0	0	0	0	0	0	0	0
ESGL	ESG Revenue ETF Oppenheimer			0	0	0	0	0	0	0	0
ESGN	Columbia Sustainable Internatio			0	0	0	0	0	0	0	0
ESGS	Columbia Sustainable U.S. Equit			0	0	0	0	0	0	0	0
ESGW	Columbia Sustainable Global Equ			0	0	0	0	0	0	0	0
ESNC	Ensync Inc			0	-0.09	0	55608700	0	-0.08	2.02	1.49
ESP	Espey Mfg. & Electronics	Capital Goods	Industrial Machinery/Components	46.22	0.49	4.4	2325828	1	0	2.38	1.68
ETHO	Etho Climate Leadership U.S. ETF			0	0	0	0	0	0	0	0
EUDG	Wisdomtree Europe Dividend Growth Fund			0	0	0	0	0	0	0	0
EUDV	Europe Dividend Proshares			0	0	0	0	0	0	0	0
EUFL	Direxion European Financials Bull 2X			0	0	0	0	0	0	0	0
EUFX	Euro Short Proshares			0	0	0	0	0	0	0	0
EUM	Emrg Mkts MSCI Short Proshares			0	0	0	0	0	0	0	0
EUMV	Europe Minimum Vol Ishares ETF			0	0	0	0	0	0	0	0
EUO	Ultrashort Euro Proshares			0	0	0	0	0	0	0	0
EURL	Direxion FTSE Europe Bull 3X			0	0	0	0	0	0	0	0
EURZ	Db-Xt MSCI Southern Europe Hedged Eqty ETF			0	0	0	0	0	0	0	0
EUSA	US Index MSCI Ishares			0	0	0	0	0	0	0	0
EUSC	Wisdomtree Europe Hedged Smallcap Eqty ETF			0	0	0	0	0	0	0	0
EUXL	Direxion Daily Euro Stoxx 50 Bull 3X Shares			0	0	0	0	0	0	0	0
EVBN	Evans Bancorp	Finance	Major Banks	19.69	2.25	1.87	4764068	0.8	0	4.23	1.76
EVI	Envirostar Inc.	Consumer Services	Other Consumer Services	86.73	0.31	0	10467160	0	0	2.88	8.41
EVIX	Velocityshares 1X Long Vstoxx Futures ETN			0	0	0	0	0	0	0	0
EVJ	Eaton Vance New Jersey Muni Income Trust	Finance	Closed-End Fund - Debt	0	0.27	4.48	0	0.55	0	0	0
