RESULT_COUNT: 9997,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
ADRD,ADRD:UW,BBG000PK4Y44,2018-03-12,23.4491,23.4491,23.4194,23.4342,488.0,0.0,1.0,23.4491,23.4491,23.4194,23.4342,488.0
ADRE,ADRE:UW,BBG000FQ6F05,2018-03-12,46.99,46.99,46.221,46.49,16713.0,0.0,1.0,46.99,46.99,46.221,46.49,16713.0
ADRO,ADRO:UW,BBG0088NM482,2018-03-12,8.8,9.1,8.6,9.05,731357.0,0.0,1.0,8.8,9.1,8.6,9.05,731357.0
ADRU,ADRU:UW,BBG000B9YX16,2018-03-12,22.8,22.8,22.65,22.68,1342.0,0.0,1.0,22.8,22.8,22.65,22.68,1342.0
ADS,ADS:UN,BBG000BFNSP9,2018-03-12,239.05,241.48,237.93,238.06,464479.0,0.0,1.0,239.05,241.48,237.93,238.06,464479.0
ADSK,ADSK:UW,BBG000BM7TD3,2018-03-12,139.21,141.19,138.34,138.37,2094839.0,0.0,1.0,139.21,141.19,138.34,138.37,2094839.0
ADT,ADT:UN,BBG003CFK815,2018-03-12,10.61,10.77,10.5296,10.71,2337477.0,0.0,1.0,10.61,10.77,10.5296,10.71,2337477.0
ADTN,ADTN:UW,BBG000C4KDF0,2018-03-12,16.3,16.5,16.3,16.45,438469.0,0.0,1.0,16.3,16.5,16.3,16.45,438469.0
ADUS,ADUS:UW,BBG000NJKB87,2018-03-12,40.5,42.55,40.5,42.3,31474.0,0.0,1.0,40.5,42.55,40.5,42.3,31474.0
ADX,ADX:UN,BBG000BB8PZ0,2018-03-12,15.62,15.68,15.58,15.67,92586.0,0.0,1.0,15.62,15.68,15.58,15.67,92586.0
ADXS,ADXS:UW,BBG000KVFGP9,2018-03-12,2.2,2.25,2.06,2.21,1411334.0,0.0,1.0,2.2,2.25,2.06,2.21,1411334.0
ADXSW,ADXSW:UW,BBG005DZNTQ9,2018-03-12,0.42,0.42,0.4,0.4,3965.0,0.0,1.0,0.42,0.42,0.4,0.4,3965.0
ADZ,ADZ:UN,BBG000VGZ9Q3,2018-03-12,34.8,34.8,33.4,33.4,20.0,0.0,1.0,34.8,34.8,33.4,33.4,20.0
AE,AE:UN,BBG000BB92P1,2018-03-12,43.5,44.4,43.4,44.33,3473.0,0.0,1.0,43.5,44.4,43.4,44.33,3473.0
AEB,AEB:UN,,2018-03-12,24.81,24.81,24.601,24.74,9041.0,0.0,1.0,24.81,24.81,24.601,24.74,9041.0
AED,AED:UN,,2018-03-12,26.12,26.15,26.04,26.06,29970.0,0.0,1.0,26.12,26.15,26.04,26.06,29970.0
AEE,AEE:UN,BBG000B9XB97,2018-03-12,54.15,54.6,54.0985,54.41,1559040.0,0.0,1.0,54.15,54.6,54.0985,54.41,1559040.0
AEG,AEG:UN,BBG000CKQTN4,2018-03-12,6.93,6.94,6.8532,6.86,1750059.0,0.0,1.0,6.93,6.94,6.8532,6.86,1750059.0
AEGN,AEGN:UW,BBG000KPX8F1,2018-03-12,23.32,23.73,23.06,23.1,155121.0,0.0,1.0,23.32,23.73,23.06,23.1,155121.0
AEH,AEH:UN,,2018-03-12,25.93,25.99,25.8503,25.93,24887.0,0.0,1.0,25.93,25.99,25.8503,25.93,24887.0
AEHR,AEHR:UW,BBG000BWM7Q8,2018-03-12,2.55,2.56,2.43,2.45,33640.0,0.0,1.0,2.55,2.56,2.43,2.45,33640.0
AEIS,AEIS:UW,BBG000FKP386,2018-03-12,72.02,72.67,70.96,71.03,247194.0,0.0,1.0,72.02,72.67,70.96,71.03,247194.0
AEK,AEK:UN,,2018-03-12,26.78,26.81,26.5,26.5,47691.0,0.0,1.0,26.78,26.81,26.5,26.5,47691.0
AEL,AEL:UN,BBG000BB6LB7,2018-03-12,32.54,33.2,32.44,32.92,780895.0,0.0,1.0,32.54,33.2,32.44,32.92,780895.0
AEM,AEM:UN,BBG000DLVGV4,2018-03-12,38.71,39.52,38.71,39.46,1372427.0,0.0,1.0,38.71,39.52,38.71,39.46,1372427.0
AEMD,AEMD:UW,BBG000L7B4Z1,2018-03-12,1.71,1.779,1.65,1.7085,179706.0,0.0,1.0,1.71,1.779,1.65,1.7085,179706.0
AEO,AEO:UN,BBG000BGY0Z5,2018-03-12,19.5,19.85,19.43,19.63,5023546.0,0.0,1.0,19.5,19.85,19.43,19.63,5023546.0
AEP,AEP:UN,BBG000BB9NG5,2018-03-12,65.74,65.99,65.58,65.87,3175783.0,0.0,1.0,65.74,65.99,65.58,65.87,3175783.0
AER,AER:UN,BBG000Q9G1G4,2018-03-12,49.8,50.08,49.34,49.37,1859252.0,0.0,1.0,49.8,50.08,49.34,49.37,1859252.0
AERI,AERI:UW,BBG0059161X1,2018-03-12,57.4,60.55,57.4,59.05,370852.0,0.0,1.0,57.4,60.55,57.4,59.05,370852.0
AES,AES:UN,BBG000C23NG0,2018-03-12,10.85,10.88,10.62,10.74,7480512.0,0.0,1.0,10.85,10.88,10.62,10.74,7480512.0
AET,AET:UN,BBG000FJLJ51,2018-03-12,177.4,178.12,177.07,177.07,3338736.0,0.0,1.0,177.4,178.12,177.07,177.07,3338736.0
AETI,AETI:UW,BBG000BXDVQ3,2018-03-12,1.285,1.3,1.25,1.25,3907.0,0.0,1.0,1.285,1.3,1.25,1.25,3907.0
AEUA,AEUA:UN,,2018-03-12,32.0,32.5,31.69,32.34,135459.0,0.0,1.0,32.0,32.5,31.69,32.34,135459.0
AEY,AEY:UW,BBG000CFXMB5,2018-03-12,1.31,1.32,1.3,1.3,13667.0,0.0,1.0,1.31,1.32,1.3,1.3,13667.0
AEZS,AEZS:UW,BBG000LZRQ92,2018-03-12,1.7,1.7076,1.64,1.689,70819.0,0.0,1.0,1.7,1.7076,1.64,1.689,70819.0
AFAM,AFAM:UW,BBG000H9HTQ1,2018-03-12,58.7,58.9,57.65,58.75,77832.0,0.0,1.0,58.7,58.9,57.65,58.75,77832.0
AFB,AFB:UN,BBG000DTM9J7,2018-03-12,12.55,12.57,12.53,12.57,74765.0,0.0,1.0,12.55,12.57,12.53,12.57,74765.0
AFC,AFC:UN,,2018-03-12,25.7,25.704,25.5864,25.65,8033.0,0.0,1.0,25.7,25.704,25.5864,25.65,8033.0
AFG,AFG:UN,BBG000DPKMB6,2018-03-12,116.03,116.8,114.17,114.63,355841.0,0.0,1.0,116.03,116.8,114.17,114.63,355841.0
AFGE,AFGE:UN,,2018-03-12,26.07,26.07,25.9025,26.0,16487.0,0.0,1.0,26.07,26.07,25.9025,26.0,16487.0
AFH,AFH:UW,BBG003948N60,2018-03-12,11.5,12.5,11.25,12.45,117950.0,0.0,1.0,11.5,12.5,11.25,12.45,117950.0
AFK,AFK:UN,BBG000H0BG48,2018-03-12,26.19,26.32,26.06,26.32,12694.0,0.0,1.0,26.19,26.32,26.06,26.32,12694.0
AFL,AFL:UN,BBG000BBBRC7,2018-03-12,91.52,91.55,90.5397,90.83,1722077.0,0.0,1.0,91.52,91.55,90.5397,90.83,1722077.0
AFMD,AFMD:UW,,2018-03-12,2.35,2.4,2.2,2.25,634091.0,0.0,1.0,2.35,2.4,2.2,2.25,634091.0
AFSI,AFSI:UW,BBG000QBYFX9,2018-03-12,12.75,12.77,12.605,12.7,1011723.0,0.0,1.0,12.75,12.77,12.605,12.7,1011723.0
AFSI$A,AFSI$A:UN,,2018-03-12,19.01,19.4,19.01,19.29,8342.0,0.0,1.0,19.01,19.4,19.01,19.29,8342.0
AFSI$B,AFSI$B:UN,,2018-03-12,19.2,19.35,18.9901,19.19,26526.0,0.0,1.0,19.2,19.35,18.9901,19.19,26526.0
AFSI$C,AFSI$C:UN,,2018-03-12,20.0,20.104,20.0,20.09,5093.0,0.0,1.0,20.0,20.104,20.0,20.09,5093.0
AFSI$D,AFSI$D:UN,,2018-03-12,20.24,20.24,20.07,20.07,6163.0,0.0,1.0,20.24,20.24,20.07,20.07,6163.0
AFSS,AFSS:UN,,2018-03-12,23.48,23.98,23.36,23.7568,15143.0,0.0,1.0,23.48,23.98,23.36,23.7568,15143.0
AFT,AFT:UN,BBG00174L043,2018-03-12,16.63,16.65,16.62,16.65,37417.0,0.0,1.0,16.63,16.65,16.62,16.65,37417.0
AFTY,AFTY:UN,BBG0087HJJ69,2018-03-12,18.74,18.75,18.7,18.7,9694.0,0.0,1.0,18.74,18.75,18.7,18.7,9694.0
AG,AG:UN,BBG000CH7YK4,2018-03-12,5.79,6.01,5.77,5.97,2161121.0,0.0,1.0,5.79,6.01,5.77,5.97,2161121.0
AGC,AGC:UN,BBG000R5NGD3,2018-03-12,5.88,5.89,5.81,5.85,196275.0,0.0,1.0,5.88,5.89,5.81,5.85,196275.0
AGCO,AGCO:UN,BBG000DCD2J9,2018-03-12,68.04,68.65,66.69,67.03,585672.0,0.0,1.0,68.04,68.65,66.69,67.03,585672.0
AGD,AGD:UN,BBG000PMSNV8,2018-03-12,11.09,11.12,11.02,11.05,46637.0,0.0,1.0,11.09,11.12,11.02,11.05,46637.0
AGEN,AGEN:UW,BBG000C8V450,2018-03-12,5.79,5.87,5.66,5.67,1886273.0,0.0,1.0,5.79,5.87,5.66,5.67,1886273.0
AGF,AGF:UN,BBG000VGZ4C9,2018-03-12,10.44,10.59,10.44,10.59,2.0,0.0,1.0,10.44,10.59,10.44,10.59,2.0
AGG,AGG:UN,BBG000Q126X6,2018-03-12,106.43,106.49,106.37,106.43,4149547.0,0.0,1.0,106.43,106.49,106.37,106.43,4149547.0
AGGY,AGGY:UN,BBG009KCY2K7,2018-03-12,49.03,49.03,48.951,48.98,84821.0,0.0,1.0,49.03,49.03,48.951,48.98,84821.0
AGI,AGI:UN,BBG009HT6BR8,2018-03-12,4.95,4.96,4.83,4.93,2741954.0,0.0,1.0,4.95,4.96,4.83,4.93,2741954.0
AGII,AGII:UW,BBG000F4HYQ3,2018-03-12,54.75,55.45,54.65,55.2,158090.0,0.0,1.0,54.75,55.45,54.65,55.2,158090.0
AGIIL,AGIIL:UW,,2018-03-12,25.1,25.12,25.07,25.12,11433.0,0.0,1.0,25.1,25.12,25.07,25.12,11433.0
AGIO,AGIO:UW,BBG004P6MJ59,2018-03-12,84.24,85.88,83.12,84.52,225427.0,0.0,1.0,84.24,85.88,83.12,84.52,225427.0
AGM,AGM:UN,BBG000G8ZNL2,2018-03-12,85.0,86.46,83.52,85.54,49911.0,0.0,1.0,85.0,86.46,83.52,85.54,49911.0
AGM$A,AGM$A:UN,,2018-03-12,25.2003,25.5198,25.2,25.5198,1120.0,0.0,1.0,25.2003,25.5198,25.2,25.5198,1120.0
AGM$B,AGM$B:UN,,2018-03-12,26.4176,26.44,26.4176,26.44,464.0,0.0,1.0,26.4176,26.44,26.4176,26.44,464.0
AGN,AGN:UN,BBG000FH9TR3,2018-03-12,157.59,160.04,157.52,158.41,2733848.0,0.0,1.0,157.59,160.04,157.52,158.41,2733848.0
AGNC,AGNC:UW,BBG000TJ93C7,2018-03-12,18.48,18.78,18.48,18.65,2981347.0,0.0,1.0,18.48,18.78,18.48,18.65,2981347.0
AGNCB,AGNCB:UW,,2018-03-12,26.39,26.4,26.234,26.38,13802.0,0.0,1.0,26.39,26.4,26.234,26.38,13802.0
AGND,AGND:UW,BBG005Q267B1,2018-03-12,44.01,44.2672,43.99,44.09,11270.0,0.0,1.0,44.01,44.2672,43.99,44.09,11270.0
AGO,AGO:UN,BBG000CQB3G2,2018-03-12,35.5,35.78,35.42,35.56,560044.0,0.0,1.0,35.5,35.78,35.42,35.56,560044.0
AGO$B,,,2018-03-12,25.7,25.72,25.6668,25.7,1720.0,0.0,1.0,25.7,25.72,25.6668,25.7,1720.0
AGO$E,AGO$E:UN,,2018-03-12,25.71,25.7714,25.5899,25.6818,3230.0,0.0,1.0,25.71,25.7714,25.5899,25.6818,3230.0
AGO$F,AGO$F:LB,,2018-03-12,25.2,25.38,25.1988,25.35,10833.0,0.0,1.0,25.2,25.38,25.1988,25.35,10833.0
AGQ,AGQ:UN,BBG000F7KT29,2018-03-12,31.74,32.02,31.6,31.94,95346.0,0.0,1.0,31.74,32.02,31.6,31.94,95346.0
AGRO,AGRO:UN,BBG001F4VY30,2018-03-12,8.35,8.55,8.22,8.3,1467066.0,0.0,1.0,8.35,8.55,8.22,8.3,1467066.0
AGRX,AGRX:UW,BBG00660K1Z6,2018-03-12,3.72,3.82,3.61,3.64,132544.0,0.0,1.0,3.72,3.82,3.61,3.64,132544.0
AGTC,AGTC:UW,BBG005TVPD20,2018-03-12,4.45,4.6,4.3,4.3,117022.0,0.0,1.0,4.45,4.6,4.3,4.3,117022.0
AGX,AGX:UN,BBG000K4K6V8,2018-03-12,42.9,43.15,41.9,42.8,175253.0,0.0,1.0,42.9,43.15,41.9,42.8,175253.0
AGYS,AGYS:UW,BBG000BR7GZ6,2018-03-12,11.79,11.84,11.57,11.68,28965.0,0.0,1.0,11.79,11.84,11.57,11.68,28965.0
AGZ,AGZ:UN,BBG000G03XL2,2018-03-12,111.44,111.45,111.37,111.4201,8649.0,0.0,1.0,111.44,111.45,111.37,111.4201,8649.0
