RESULT_COUNT: 7694,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
ADXSW,ADXSW:UW,BBG005DZNTQ9,2018-09-04,0.165,0.165,0.0539,0.12,25918.0,0.0,1.0,0.165,0.165,0.0539,0.12,25918.0,1
AE,AE:UA,BBG000BB92P1,2018-09-04,45.9,46.1599,45.42,46.14,2093.0,0.0,1.0,45.9,46.1599,45.42,46.14,2093.0,1
AEE,AEE:UN,BBG000B9XB97,2018-09-04,63.45,63.93,63.4,63.75,1053994.0,0.0,1.0,63.45,63.93,63.4,63.75,1053994.0,1
AEG,AEG:UN,BBG000CKQTN4,2018-09-04,5.97,6.01,5.93,6.01,2285826.0,0.0,1.0,5.97,6.01,5.93,6.01,2285826.0,1
AEGN,AEGN:UW,BBG000KPX8F1,2018-09-04,24.9,25.02,24.295,24.57,75811.0,0.0,1.0,24.9,25.02,24.295,24.57,75811.0,1
AEHR,AEHR:UW,BBG000BWM7Q8,2018-09-04,2.5,2.57,2.481,2.54,9710.0,0.0,1.0,2.5,2.57,2.481,2.54,9710.0,1
AEIS,AEIS:UW,BBG000FKP386,2018-09-04,59.27,59.54,58.18,59.14,441264.0,0.0,1.0,59.27,59.54,58.18,59.14,441264.0,1
AEL,AEL:UN,BBG000BB6LB7,2018-09-04,37.09,37.155,36.58,36.85,370230.0,0.0,1.0,37.09,37.155,36.58,36.85,370230.0,1
AEM,AEM:UN,BBG000DLVGV4,2018-09-04,33.78,34.08,33.16,33.21,2544528.0,0.0,1.0,33.78,34.08,33.16,33.21,2544528.0,1
AEMD,AEMD:UW,BBG000L7B4Z1,2018-09-04,0.96,1.02,0.92,1.02,57068.0,0.0,1.0,0.96,1.02,0.92,1.02,57068.0,1
AEO,AEO:UN,BBG000BGY0Z5,2018-09-04,26.04,26.57,25.81,26.53,4305595.0,0.0,1.0,26.04,26.57,25.81,26.53,4305595.0,1
AEP,AEP:UN,BBG000BB9NG5,2018-09-04,72.03,72.52,71.87,72.26,2150281.0,0.0,1.0,72.03,72.52,71.87,72.26,2150281.0,1
AER,AER:UN,BBG000Q9G1G4,2018-09-04,56.97,57.13,56.22,56.79,1384218.0,0.0,1.0,56.97,57.13,56.22,56.79,1384218.0,1
AERI,AERI:UW,BBG0059161X1,2018-09-04,61.0,61.25,59.75,60.65,633317.0,0.0,1.0,61.0,61.25,59.75,60.65,633317.0,1
AES,AES:UN,BBG000C23NG0,2018-09-04,13.43,13.53,13.09,13.15,10959746.0,0.0,1.0,13.43,13.53,13.09,13.15,10959746.0,1
AET,AET:UN,BBG000FJLJ51,2018-09-04,200.4,200.88,198.67,199.3,1266556.0,0.0,1.0,200.4,200.88,198.67,199.3,1266556.0,1
AETI,AETI:UW,BBG000BXDVQ3,2018-09-04,1.0,1.0749,0.9511,0.99,137126.0,0.0,1.0,1.0,1.0749,0.9511,0.99,137126.0,1
AEY,AEY:UW,BBG000CFXMB5,2018-09-04,1.45,1.49,1.45,1.47,18667.0,0.0,1.0,1.45,1.49,1.45,1.47,18667.0,1
AEZS,AEZS:UW,BBG000LZRQ92,2018-09-04,1.8,1.84,1.79,1.8,75733.0,0.0,1.0,1.8,1.84,1.79,1.8,75733.0,1
AFB,AFB:UN,BBG000DTM9J7,2018-09-04,12.65,12.65,12.59,12.63,30797.0,0.0,1.0,12.65,12.65,12.59,12.63,30797.0,1
AFG,AFG:UN,BBG000DPKMB6,2018-09-04,111.42,112.51,111.22,112.45,166096.0,0.0,1.0,111.42,112.51,111.22,112.45,166096.0,1
AFH,AFH:UW,BBG003948N60,2018-09-04,10.3,10.85,10.25,10.8,57789.0,0.0,1.0,10.3,10.85,10.25,10.8,57789.0,1
AFK,AFK:UP,BBG000H0BG48,2018-09-04,21.73,21.78,21.5325,21.6117,8904.0,0.0,1.0,21.73,21.78,21.5325,21.6117,8904.0,1
