RESULT_COUNT: 596,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR
ULTR-M,ULTR-M:IT,BBG000M7Q9F5,2018-09-04,18.37,12.2,12.2,17.08,23.0,0.0,1.0,18.37,12.2,12.2,17.08,23.0,1.0
GAGR,GAGR:IT,BBG000FK59B1,2018-09-04,4.019,4.02,3.762,3.8360000000000003,2889.0,0.0,1.0,4.019,4.02,3.762,3.8360000000000003,2889.0,1.0
NETZ,NETZ:IT,BBG000FLQ1H7,2018-09-04,0.515,,,0.515,0.0,0.0,1.0,0.515,,,0.515,0.0,1.0
TGTR,TGTR:IT,BBG000FL3592,2018-09-04,8.6,8.785,8.25,8.324,296448.0,0.0,1.0,8.6,8.785,8.25,8.324,296448.0,1.0
LUZN,LUZN:IT,BBG000FN0RB0,2018-09-04,0.452,0.44,0.419,0.425,246497.0,0.0,1.0,0.452,0.44,0.419,0.425,246497.0,1.0
EMTC,EMTC:IT,BBG000G22KG3,2018-09-04,1.06,1.052,1.051,1.051,13408.0,0.0,1.0,1.06,1.052,1.051,1.051,13408.0,1.0
DEDR.L,DEDR.L:IT,BBG000G22NZ6,2018-09-04,10.3,10.3,10.03,10.18,1553292.0,0.0,1.0,10.3,10.3,10.03,10.18,1553292.0,1.0
TALD,TALD:IT,BBG000G22QZ9,2018-09-04,16.09,16.3,15.95,16.06,5044.0,0.0,1.0,16.09,16.3,15.95,16.06,5044.0,1.0
GLVR-M,GLVR-M:IT,BBG000G22Y91,2018-09-04,11.8,,,11.8,0.0,0.0,1.0,11.8,,,11.8,0.0,1.0
BONS,BONS:IT,BBG000G22TJ1,2018-09-04,0.5820000000000001,0.593,0.5820000000000001,0.5870000000000001,417274.0,0.0,1.0,0.5820000000000001,0.593,0.5820000000000001,0.5870000000000001,417274.0,1.0
YBOX,YBOX:IT,BBG000G22WL1,2018-09-04,0.6890000000000001,0.6890000000000001,0.67,0.684,7908.0,0.0,1.0,0.6890000000000001,0.6890000000000001,0.67,0.684,7908.0,1.0
ADO,ADO:IT,BBG000FLHYF7,2018-09-04,86.0,86.47,83.6,85.36,71221.0,0.0,1.0,86.0,86.47,83.6,85.36,71221.0,1.0
GIVO.L,GIVO.L:IT,BBG000G231G4,2018-09-04,,,,0.01,0.0,0.0,1.0,,,,0.01,0.0,1.0
CMDR,CMDR:IT,BBG000G249B1,2018-09-04,112.6,112.5,110.0,111.9,70.0,0.0,1.0,112.6,112.5,110.0,111.9,70.0,1.0
KAFR,KAFR:IT,BBG000G25M30,2018-09-04,18.16,18.6,18.02,18.46,5879.0,0.0,1.0,18.16,18.6,18.02,18.46,5879.0,1.0
RAVD,RAVD:IT,BBG000G25PS6,2018-09-04,7.266,7.313,7.25,7.269,2129.0,0.0,1.0,7.266,7.313,7.25,7.269,2129.0,1.0
MABR,MABR:IT,BBG000G25RJ2,2018-09-04,41.0,41.23,40.8,41.03,10576.0,0.0,1.0,41.0,41.23,40.8,41.03,10576.0,1.0
BIRM,BIRM:IT,BBG000FLRK57,2018-09-04,15.3,15.3,15.3,15.3,653.0,0.0,1.0,15.3,15.3,15.3,15.3,653.0,1.0
